time,magnitude,user_id
0,23008,215
39,1730,720
205,677,329
276,2103,1156
321,293,1268
373,9136,286
397,261,150
520,1875,86
950,14848,1074
991,1464,1343
1010,783,592
1384,4769,1206
1590,53,1496
1859,584,1149
1924,4221,344
2016,461,1621
2665,1539,963
3616,371,1331
3918,543,1275
4537,1592,564
4719,348,213
4982,5741,1561
5557,1737,1134
7496,12159,50
8478,325,447
8558,51064,43
8596,18349,190
8608,1336,163
8616,2098,838
8633,244,347
8706,723,11
8829,2749,52
9024,1059,67
9130,184,340
11098,299,1463
11140,903,704
11319,2629,102
11868,70,591
12027,885,454
13136,295,256
14302,403,1347
15296,115,1512
15973,1725,705
16443,317,830
20548,741,390
28202,23014,215
28289,7638,261
28412,448,597
28416,559,665
28745,1396,740
30358,2256,1297
30379,1152,222
30582,1627,1214
30700,5,1687
30763,42,1063
30974,314,583
31004,305,196
31352,103,1321
32700,1900,229
34703,214,1209
34989,1061,311
37165,448,23
37197,3365,1118
37214,4578,461
38158,1755,513
40783,101,1387
41937,950,1235
70426,1205,563
70931,246,63
92008,2901,1527
95934,9478,905
97740,10928,681
106165,3164,968
106279,2296,638
111531,260,1092
112054,1268,1161
154562,1718,1267
155363,32,1633
158939,885,1511
