time,magnitude,user_id
0,22486,215
215,6658,996
233,1068,890
357,65,1020
380,4016,161
482,393,1275
505,1598,808
1006,248,241
1271,1566,840
1772,753,786
2022,396,1300
2083,720,747
2162,151,1240
2490,521,1341
2831,480,1101
3339,306,148
3385,176,847
4298,1690,1248
4355,1565,564
4539,83,1512
5527,2382,578
5558,606,878
6582,3250,1118
6697,2014,924
7461,1403,974
7688,355,41
8930,282,835
14297,2580,18
15916,548,696
16322,251,442
17033,2130,1297
20204,120107,375
20249,744,1303
20305,740,434
20425,109,1326
20459,576,171
20625,602,680
21642,1052,503
25383,7409,494
25522,35,688
26814,537,759
27241,3689,432
27547,430,312
27558,261,694
30684,1171,983
30845,1853,426
33701,3898,40
34914,670,1132
35778,12879,772
35807,7782,354
36666,2719,409
36915,1217,163
37097,110,1326
37723,662,1284
38789,238,962
39916,541,452
40721,2948,776
41169,235,1018
41355,1639,699
43835,726,391
44088,218,518
44574,206,1072
50887,3014,64
51799,349,1238
53986,58,421
56465,3001,1406
81268,58,815
82866,450,775
83098,3994,1123
83246,5121,532
83465,2231,1430
100999,1393,896
111940,8,1573
124554,2310,1153
266563,129,1492
266914,3696,200
