time,magnitude,user_id
0,678,1612
1220,117,117
3871,576,1124
4868,18109,755
4903,374,109
4903,11757,118
4911,5630,120
4981,1642,975
5095,1629,1214
5554,1924,484
5674,7896,1485
5697,8665,238
5776,2957,1089
5797,626,111
5820,3390,5
5908,4116,458
6188,880,493
6253,820,766
6790,1701,1264
7134,2758,952
7552,283,1100
7598,677,714
7666,8517,793
7704,78,573
7799,153,505
7832,5062,1449
7900,224,1299
8422,4129,134
8559,2185,1007
8582,4578,652
9056,3417,380
9630,1197,54
11280,13434,772
11508,932,425
11900,1067,730
13045,16,1572
15881,6363,674
16107,2125,1203
16253,1003,343
16328,3795,567
16652,1709,929
16791,318,1002
23212,89,1499
25868,88,1322
25869,166,926
26753,802,1104
27593,488,943
27727,628,326
29567,1738,1134
29972,2127,327
37417,2509,752
37990,3638,1150
38901,1332,163
39266,312,741
40995,573,410
43527,381,1285
43851,816,1328
45358,186,1374
45608,231,1682
47232,5252,723
48197,1149,585
49538,302,1525
84804,442,440
117977,4313,1308
118876,436,728
144650,4315,613
144673,9545,66
182197,2301,1047
183493,4941,584
317106,600,1146
578431,137,1640
