time,magnitude,user_id
0,6936,384
62,1673,664
84,883,1202
95,4195,258
97,1996,313
108,3937,541
159,6994,321
180,12143,232
186,583,428
256,2709,496
259,362,863
367,3103,165
433,3493,1205
488,17445,211
1324,88,91
1512,2282,799
3991,294,1112
5181,855,276
6222,16694,677
6242,82,778
6256,209,618
8357,7032,328
8370,2991,634
8396,4736,1178
8478,13,1663
8907,3735,27
8910,3432,93
9175,13149,17
9714,92,424
10524,5380,97
11272,194,300
11919,236,827
12868,2343,278
13230,138,1050
13689,26,289
14201,1071,497
14499,448,756
15020,53798,227
15089,3695,179
15137,344,1307
15182,4485,849
15199,131,877
15209,1098,587
15257,1237,672
15268,804,51
15305,424,248
15356,228,1003
15370,870,600
15715,5594,235
15979,109,25
16177,1239,163
16255,821,795
17977,2183,1068
18076,254,925
18477,1837,407
18681,429,435
19412,783,659
19446,202,1578
19873,165,746
23243,480,1345
23744,622,1261
29980,1279,733
30818,3830,287
30944,1605,322
31566,644,403
32180,143,192
32594,234,1038
32903,4884,584
33743,955,7
36573,481,177
39991,477,943
40152,1012,1269
77596,112,1428
87115,257,1102
89787,1690,356
161809,3364,1273
