time,magnitude,user_id
0,681830,60
42,2313,799
55,2009,395
295,3911,168
453,1515,1066
746,521,727
889,342,812
1778,165,423
1833,60,988
2196,25,1528
3262,579,352
3730,7658,977
3865,18523,74
5583,123,700
6414,8,1677
6558,142,1368
7512,3314,857
7927,422,1270
8296,3355,144
9079,114,221
10949,318,281
18648,16,1295
20692,177,848
20782,54,873
24180,80,30
27421,3800,679
36689,847,61
37396,1945,218
39920,4319,1121
41587,117,1412
43669,688,1125
43734,50,1480
44364,3352,1509
45957,33542,385
46996,3715,432
47744,6402,253
48001,2943,637
48418,103048,338
50011,202,907
51211,43,749
51465,152,57
52038,652,288
56508,291,1138
56591,31,707
56730,4644,498
57008,75,801
57743,1590,871
58942,191,861
60125,43,439
60257,1,1354
61568,2049,502
63029,169,38
63226,8658,80
64134,6123,572
65640,8391,388
67278,20088,950
68507,756,1371
72100,38,1535
74784,1523,963
76965,10,832
77420,14,1457
77724,341,1360
78221,59,1676
80838,117,125
93861,49,804
95578,982,921
110616,1258,992
114618,1346,803
116503,53,852
162958,288,1421
167039,1011,982
175724,19349,166
181437,321,1552
255895,3403,1338
257055,3,1642
1085159,1,1681
1402292,4,1679
