time,magnitude,user_id
0,42464,675
18,1008,280
38,34,1348
68,2333,448
320,196,1667
338,48,1458
356,202,364
386,346,1557
514,94,28
578,2973,92
819,1279,1226
1073,7439,182
1123,661,1125
1276,136,1502
1334,1429,1315
2082,143,859
2524,349,291
3195,81,332
3285,27,777
3769,12,884
4591,314,897
4710,8745,1369
5898,31,1418
6343,2051,133
6795,1201,1382
7925,26,379
8599,115,936
10043,159,1274
11001,76,1020
12551,19,771
13167,231,347
13590,1005,306
14610,106,765
14884,37,1497
15098,361,1460
15475,6,1657
17443,19,689
17475,4215,184
17537,1641,579
18959,4014,683
19336,48,1455
22328,32,1643
24845,2407,1521
26336,14,1518
30939,66,1546
35341,38,400
40482,1317,556
44759,262,183
44781,39,341
49452,53,954
49478,1144,563
53617,11,1059
53718,158,1456
