time,magnitude,user_id
0,2653,604
182,725,1141
923,427,1252
1250,4729,53
5548,4439,1189
5596,2420,831
14859,3708,1262
14947,1803,814
15116,1833,1060
15290,705,205
15631,2070,928
17183,11,1672
21592,1550,561
21645,2192,491
21894,594,1355
24833,917,1266
24862,3642,393
25091,56,817
25352,10409,557
25504,3984,1070
25668,4260,805
25741,2505,1019
25743,4187,1447
25917,1398,1343
26592,995,194
26723,442,735
26994,1230,851
27224,1522,555
27277,1831,1041
27347,1236,794
27572,377,1619
28817,1379,8
28820,272,970
29620,735,506
29874,7886,354
30964,19306,514
33048,95,1289
33216,3505,743
33951,204,251
36340,1227,937
36489,59,1416
36734,124,1507
36788,3554,1150
37728,630,913
38390,284,626
38503,2251,1004
38743,294,1519
39442,217,644
41620,4595,844
42793,182,1445
47523,42,155
47968,538,508
53950,2288,530
54058,3112,1406
55730,1177,350
55791,1505,1648
55823,4193,613
58648,1440,869
61707,3071,64
67597,462,775
76315,1804,466
76849,741,810
79013,936,916
79206,165,297
84711,773,1359
85784,186,1136
85828,2259,1200
86771,2886,701
86796,2202,1195
86911,4971,1449
87093,3231,185
87210,628,1276
87657,1584,366
92116,516718,136
92188,17,1403
92243,154,876
92318,291,598
92356,151,246
92370,63,1465
93020,798,29
93617,219,894
93714,1013,343
94631,184,1333
94769,83,900
95596,2457,112
95723,3652,567
96119,1359,910
96613,129,1495
96869,1042,34
97092,4872,584
97694,3,1678
98041,1281,371
98101,3724,839
99990,25,1219
103660,696,984
103684,8733,811
104220,3735,1145
105771,17,1675
116256,314,774
125479,777,1104
158038,1174,1130
188078,117,305
561223,2783,1527
561403,2226,1119
563177,492,176
563197,1423,1343
