time,magnitude,user_id
0,120735,138
70,401,453
114,1344,163
124,1989,156
128,73,275
172,2318,941
191,114,315
221,1596,351
237,11926,933
246,125,31
299,398,865
415,1526,1467
454,1508,1
472,44,167
539,99,971
545,5300,104
610,24,1174
636,31,107
650,1215,708
652,2178,135
819,354,1626
931,143,619
946,222,1474
950,3125,270
1034,289,153
1087,1823,1248
1306,816,575
1436,334,528
1568,6,1076
1607,52,1012
1704,1666,1036
1704,3890,517
1998,1673,37
2087,81,1160
2224,958,106
2412,8315,438
2412,4227,702
2507,1753,946
2595,274,208
2650,2331,1153
2717,353,846
2768,83,1484
2843,1883,842
2874,1135,69
3015,1469,394
3101,7891,195
3168,2643,267
3270,81,480
3406,4313,1169
3425,1748,1047
3538,472,220
3554,4626,602
3752,2340,784
3836,379,85
3896,143,1405
3905,1660,750
4143,961,70
4217,226,964
4266,965,408
4375,1097,402
4385,1713,995
4389,185,139
4434,188,1538
4922,55,481
5150,34,1067
5178,192,294
5353,41,207
5565,27,376
5967,703,49
6532,409,334
6659,668,236
7029,1214,357
7062,308,162
7405,97,966
7614,54,1353
7804,14,718
7815,1842,1080
7875,203,1122
7969,682,633
8338,438,516
8428,547,154
8537,29,1053
8733,4188,476
9297,633,931
9333,50,1111
9372,1728,266
9440,68,15
9513,4128,134
9685,18,1662
9845,86,544
9926,53,1576
10168,224,436
11136,2791,976
11465,40,146
12011,639,888
12330,40,1689
12359,40,1689
12888,1012,420
16228,1231,214
16809,1103,181
18179,1623,1214
19134,189,841
19718,51,537
20709,1432,137
21663,2484,578
22028,591,140
24039,3238,1312
24043,2215,709
24396,1540,649
25556,14850,1074
25734,102,1181
25995,408,160
26101,1733,724
26225,1468,48
26866,179,128
26934,216,188
27527,185,822
28456,203,460
30332,1483,972
30658,25,1143
31066,211,687
32283,556,1144
33872,124,94
34244,912,605
34291,50,1556
35044,1537,259
36211,1943,1032
37109,1221,240
39054,94,917
43003,549,309
50208,50,355
54241,164,957
65698,2297,1520
89079,44,1673
185406,33,201
219472,493,116
264236,22021,132
389181,1374,556
