time,magnitude,user_id
0,6312,706
575,192,174
671,2089,1156
1733,6076,272
2204,607,113
2296,62,1471
2751,1567,487
4019,1598,875
4147,3095,1095
4161,271,242
4280,659,543
4306,226,570
4452,958,469
5328,2271,997
5363,1277,1013
5519,176,293
6372,1762,339
6469,4835,265
7222,669,203
8319,603,1167
9165,829,9
9809,579,883
11811,1447,1370
12922,700,540
13537,1019,891
14873,750,1390
15278,3425,1338
15535,502,1318
15931,4851,53
15970,1499,259
16174,349,42
16277,1453,869
16341,50747,43
16374,1453,869
16462,766,796
16639,4211,284
16756,780,1301
16771,4725,1206
16976,205,372
17144,1730,1432
17168,2489,1319
17331,7909,354
17367,125,1649
17498,3720,567
17711,538,1481
17792,778,960
18009,4865,1129
18083,1211,663
18224,2471,752
18380,11552,58
18600,1622,808
20438,56,1386
21543,1560,967
22957,3446,295
22966,3468,1173
23180,626,1579
23223,14766,1074
23368,5518,785
24031,7460,164
24242,843,1093
24297,450,716
25624,3743,1262
25822,252,477
25848,527,719
26042,460,1398
26740,944,1027
43675,372,1229
45368,1914,790
45723,73,1244
49233,193,860
49995,173,1413
50336,411,1423
50390,25,1675
50699,2180,998
50825,1027,1282
51318,405,427
51419,4216,344
55017,2312,657
55204,1272,163
55391,2500,1257
55450,4987,1449
56826,411,1313
56841,2439,578
58556,623,1164
59689,1482,974
60008,1515,816
62269,785,1048
65971,495,1249
67556,1250,1161
68000,8803,811
73055,481,617
79188,1201,1559
79233,339,1105
79921,458,1398
82037,921,809
84713,2318,616
89997,2276,1081
94370,2743,409
100988,907,1469
102079,2727,952
102397,1150,698
180889,1364,658
182128,1337,556
221903,1064,1055
256281,3659,361
