time,magnitude,user_id
0,18634,755
33,2359,533
38,365,470
73,12,1493
89,1448,247
179,687117,60
199,277,1099
207,1153,1207
220,767,624
231,269,73
240,483,1196
243,2126,32
302,58401,640
329,1355,10
343,1214,445
369,2309,4
401,2166,318
417,88,1241
420,741,635
440,30,250
442,742,316
462,186,648
467,1045,908
494,2282,1297
523,34,1514
533,29923,87
584,145,255
648,347,872
687,1915,792
707,1871,1568
708,471,775
713,134,367
737,108,1289
827,72,1340
829,376,1613
854,52,1279
860,1112,1329
1094,1147,1294
1102,24,625
1110,105,1054
1139,133,308
1143,913,110
1227,1948,821
1302,1062,67
1373,877,1163
1390,809,904
1461,817,29
1649,3646,1022
1676,6394,674
1701,115,1327
1710,482,19
1734,1544,507
1764,3841,567
1815,425,562
1826,653,1062
1885,1,1084
1921,337,14
1957,975,365
2004,4816,981
2076,1,1686
2092,1304,1008
2113,1353,653
2264,162,1199
2360,118,1103
2451,554,1275
2567,82,1564
2580,1133,1448
2638,43,1641
2742,1405,1545
2779,1582,487
2930,816,451
2933,397,468
2964,12027,143
3007,782,527
3132,62,1009
3138,2252,1083
3181,64,1044
3387,34,1508
3392,514,1422
3503,2480,485
3533,157,1582
3574,12,940
3739,354,798
3780,96,212
3875,350,178
3893,382,989
4158,5598,785
4371,1667,223
4371,21,495
4458,139,615
4528,434,1571
4594,1687,360
4634,8004,1485
4759,4558,1189
4808,2558,547
4953,2526,1171
5136,556,508
5248,28,429
5320,1300,534
5556,186,693
6089,231,193
6338,1603,314
6453,158,656
6466,30,1373
6865,143,490
7027,127,1073
7322,32,362
7332,144,1109
7605,1673,84
7650,1460,1064
7918,794,96
8179,1858,279
8217,5135,1654
8235,786,489
8271,1043,737
8422,2916,595
9209,16,843
9448,1184,36
9819,994,59
10052,1747,266
10077,12,1666
10081,963,1266
10274,242,686
10370,19,1629
10636,4,580
10675,924,666
10829,1236,198
10946,2302,1004
11008,2302,998
11180,1098,273
11374,2263,678
11464,248,298
11469,1289,938
11477,122,1622
11623,839,535
11769,64,1056
12075,1884,1108
12844,1914,271
12964,12,443
13969,1683,322
14085,114,123
14219,1620,1211
14244,17,1464
14250,6435,245
15350,68,292
16458,381,457
17253,810,621
17424,136,1560
17805,1365,1503
17902,89,274
18134,52427,670
18165,17756,22
18177,113,1486
18195,873,404
18239,667,55
18244,6037,1190
18287,4995,1129
18300,3023,776
18324,323,1505
18932,1485,1342
19101,1021,483
19114,23905,609
19284,2839,386
19358,2428,1277
19481,319,1658
19483,482,1570
19561,226,1402
19846,264,1222
19907,1708,1264
20053,559,142
20156,85,526
20331,68,791
20602,107,717
20618,29,33
21217,227,523
22204,113,1035
22581,98,934
23888,31,237
24268,839,1177
24802,17,1488
25165,112586,531
25260,1719,387
25284,67,1394
25332,366,24
25388,2471,1148
25474,9,1691
25740,39,726
25743,524,414
25852,1346,948
25921,46,539
25945,989,788
25960,225,951
25974,1129,519
25985,775,1114
26040,104,945
26226,39,244
26301,72,623
26513,151,1407
27085,1561,335
27092,158,216
27144,426,1388
27207,2776,604
27557,108,1037
27651,89,1021
27706,367,1320
28159,122,1637
28684,43,647
28880,367,219
29227,3705,432
29273,416,1475
29325,244,63
29437,59,1367
29631,39,1574
29968,1557,418
30331,1023,590
31370,261,589
31566,983,806
31621,1,1025
31679,945,1010
31830,41,813
31967,3529,1247
32612,1535,1292
32705,1053,217
33325,19,1403
34428,308,1501
34476,300,158
34950,3079,46
35275,2035,1461
35494,36,780
36165,2001,1286
36317,36,1652
37037,1456,263
37359,2050,711
37494,1181,585
37520,8,1656
37697,4308,1308
37849,1710,577
37922,312,1389
38075,11751,58
38537,1263,78
38934,333,124
39318,179,892
39503,3880,200
39636,131,1410
40406,23,1436
40972,261,108
41353,135,965
41400,3684,1150
41453,151,1645
41569,7510,182
41668,1488,823
41681,369,1001
41763,3318,1115
41833,2099,569
41859,570,1450
41929,1810,1504
42087,872,422
42331,2782,952
42537,338,1218
42640,2264,95
42760,296,829
42939,4827,1215
43029,12283,520
43358,2603,26
43375,1187,654
43572,4611,461
43624,6979,969
43626,1298,359
43681,2518,1255
43933,223,1554
44303,504,71
45174,8,1692
46131,710,329
46164,1154,761
46394,644,512
46577,95,1040
46592,1488,1343
46949,665,1651
47023,672,1042
47097,146,100
47408,61,713
47702,194,855
48016,223,834
48333,1397,1529
49666,247,1127
49881,93,1409
51573,42,320
51834,1061,1058
52301,656,1094
52307,205,987
52662,56,1162
53131,74,630
53177,39,781
55450,274,183
55798,24,1566
56458,291,1106
57616,122,199
58855,286,228
62089,390,1636
67152,24,1477
69031,11,610
72844,667,131
76887,239,1296
77006,773,1429
77354,412,909
79435,25,169
80342,1765,122
82188,51,763
83393,95,627
83429,72,1306
86489,1020,501
87458,262,1530
87675,436,1426
88110,2958,441
88922,89,628
89049,1250,1117
90932,376,12
