time,magnitude,user_id
0,9361,224
475,244,369
1737,536,568
3412,211,874
4078,7815,450
4481,23513,290
4692,190,1026
5049,182,1375
5393,4472,180
5902,674,729
6250,1592,397
6276,86,614
7001,106,1531
7394,1861,629
7805,838,510
8314,105,1325
9436,40,1577
10816,273,887
11503,408,159
12272,481,1337
13253,4128,202
13425,571,413
13425,4128,202
14880,294,430
16905,3505,456
17635,1396,187
18097,26,826
19248,246,930
19582,784,1415
20450,1698,1317
20876,479,642
24047,563,612
24247,4419,141
24367,80,1558
25613,106,902
26527,1154,521
26625,43,1399
29764,889,949
30544,78,601
34821,500,958
35759,74,1113
40037,39,1659
41187,545,1057
43948,329,1361
51614,262,1029
52038,2479,1088
55787,1051,1186
58420,313,1548
60883,868,437
84164,229,431
86942,1112,558
88034,458,417
89174,547,566
91051,153,1536
92642,292,676
101721,1312,1137
110287,90,1473
136096,7553,389
136254,9008,317
168656,151,1309
187527,65,1191
232690,158,1030
