time,magnitude,user_id
0,2752,1061
16,6109,731
32,705,885
338,4511,1005
521,97,1290
847,1210,682
3323,505,1376
6084,4266,613
6541,1027,1282
7106,11857,302
7258,719,588
7628,1038,1043
7685,254,1616
7813,14792,1074
7854,740,901
7909,158,999
7930,1388,475
8003,4886,1129
8453,653,114
8680,893,0
9061,1357,1049
11037,166,1071
11823,705,540
12972,384,336
13117,1528,712
22056,366,1238
22548,794,1358
23122,3122,64
25883,369,1001
32520,2360,346
32691,1944,252
32810,8822,811
33302,2668,382
34162,82182,249
34339,185,1522
34622,123,1310
34700,37,1379
35872,412,427
36190,159,919
36522,713,655
36931,367,392
37561,1043,260
38485,18,1403
38591,66,1242
39455,4342,499
39655,313,736
39763,922,1110
40024,4155,1123
40692,1444,1343
41313,136,129
41708,4112,1000
42237,626,1650
42746,648,472
43921,1061,1271
45139,1760,837
45174,546,1524
45308,659,1192
45730,19449,514
45843,3241,185
46503,2275,126
47061,1922,1265
47888,102,1483
48933,6607,985
49203,211,1154
49219,288,1463
49617,1876,1041
50118,322,692
50173,2155,678
50973,1705,266
52042,1707,1034
52243,724,603
53694,1661,1221
53705,1603,710
55425,1586,564
58602,76,1555
68471,1541,35
71007,185,1098
74012,249,825
74224,141,1565
75937,814,1128
76638,573,1391
76683,82,1085
77431,961,408
78266,492,650
78465,259,1530
78692,1857,1411
82201,4047,370
82412,4804,1215
84349,635,233
85126,1047,191
85181,3713,432
85211,25031,608
85661,754,506
85883,1857,854
86903,519,1523
87234,3248,769
87573,457,716
87718,718,1631
87784,1175,36
90254,1206,1131
90507,537,508
90529,563,819
90659,1,1683
90673,63,479
91925,3576,515
92311,779,1476
93240,645,760
94475,2546,547
101538,442,1079
109939,676,828
117049,3308,911
128610,74,576
134623,3155,1378
134993,1283,1008
135761,915,381
139375,298,593
149124,178,340
150659,1404,691
168372,50,1541
228277,1614,399
229138,861,1163
248224,1308,1302
248842,1946,378
251502,1808,466
251598,1139,585
