time,magnitude,user_id
0,2753,1061
22,242,1668
68,1135,519
603,3084,611
1252,1879,426
1356,249,1092
1534,1422,1172
2886,846,333
8158,1357,1049
8360,682,559
9104,2074,1581
9515,369,1151
9594,705,540
10389,384,336
11626,3121,64
22504,452,947
31470,202,1646
38932,957,1193
38986,7789,1485
39010,647,760
39034,6804,996
39109,86,1685
39386,1020,1419
39700,225,1551
40762,739,1213
41469,7473,182
41482,13265,772
42216,4219,889
42737,1484,668
43016,713,655
44639,2360,346
45830,761,234
47584,2373,1065
47627,963,446
48820,572,1562
49092,2155,678
49114,2056,1377
49178,1828,565
49589,1089,525
51074,503,789
51170,492,944
51642,662,920
51683,1345,145
53904,578,504
56409,2119,327
58213,1708,266
58656,1489,1292
59880,797,1104
60690,1204,1131
60855,522,1346
61355,1299,1133
61654,1808,466
62373,995,1096
62716,349,798
63163,188,231
66295,814,1128
67660,1692,1264
67891,397,1357
71077,202,524
71369,375,1364
73379,1370,658
73402,3227,89
73459,3056,1236
73495,2223,1011
73521,82,1085
73585,822,986
75251,126,697
75361,3347,1408
75686,1913,1140
77902,2519,959
77935,796,1358
78704,9539,492
79590,265,824
80095,1264,550
80414,978,307
80584,2695,690
80712,865,262
80775,490,542
80939,279,1543
81098,386,1028
81322,33,782
81792,252,818
82491,3276,850
82717,729,1033
83280,1626,366
86734,863,1417
88414,1154,172
88508,14810,1074
88807,1306,163
89069,261,722
89323,361,1304
89426,917,383
89711,1193,350
89857,1482,1006
90247,2316,1634
90258,2088,76
90402,97,1674
90406,496,1550
90795,2498,752
91992,1584,564
92469,1281,1008
92495,1053,1058
92569,596,751
92700,1702,449
92717,1702,449
93292,624,467
96311,925,1110
98046,182,186
109291,160,919
121030,409,1423
123656,166,1413
125413,357,529
127026,1927,1060
127120,2239,170
127324,2548,547
127720,1186,1212
132356,1141,585
140551,771,592
148192,1809,814
160465,442,728
298884,2363,485
299114,828,1434
300710,174,742
300805,1429,62
303201,3155,1378
303239,8847,811
303282,1679,935
304299,173,560
307138,1447,98
307406,1177,654
324190,478,1424
