time,magnitude,user_id
0,2353,734
568,4405,581
859,1133,1183
964,1619,808
1295,3838,1166
2004,2516,752
2497,3215,1406
2922,50953,43
3015,1472,488
3051,1431,1431
3053,14835,1074
3109,4537,1005
3110,1483,13
3139,159,101
3262,702,11
3351,140,1517
3744,2906,856
3848,319,1468
4010,107,1116
4010,292,990
4025,8307,509
4146,2972,482
4335,1160,1075
4545,175,293
4784,388,979
4913,154,147
5302,746,766
6325,820,986
7463,294,582
9905,8768,671
10082,958,204
11088,1450,823
11244,286,1263
11585,290,833
11638,958,548
12015,113,1078
12042,1962,684
12163,109,455
12601,6585,554
12812,554,353
12970,653,641
12990,3222,1312
13246,1588,882
13879,1541,555
14020,716,1433
14076,8850,811
14129,10504,557
14592,2897,433
14611,574,696
15057,1222,721
15076,1188,973
15186,2422,1148
15304,2384,1065
15477,2101,1280
15714,8726,77
15793,1287,733
15804,1028,1630
15816,1346,552
15879,4708,405
15896,78,770
16057,202,349
16503,572,1023
16780,266,1099
16803,311,715
16823,11790,933
16868,2511,1257
16940,1283,1671
17144,1315,257
17307,2356,149
17502,607,862
17545,2208,1569
17611,542,154
17824,1863,1187
18092,1315,163
18281,362,745
19067,70,1339
19362,1933,1060
19743,2195,768
19869,1452,1343
19966,97,1628
20052,369,1238
20170,418,1426
20204,170,297
20389,64,1564
20831,926,226
21046,3614,1150
21730,1615,840
21742,408,334
22238,61,779
22248,2341,1082
22756,727,65
23046,753,1653
23902,2006,1046
23927,1110,1323
24091,3291,850
24113,813,695
24248,283,1086
24297,717,655
24329,1875,792
24585,2568,1170
25113,431,738
25198,539,269
25263,41,739
27059,1697,915
27378,359,1304
29124,1555,254
29990,526,1346
31609,4978,631
31747,541,1147
31895,4804,643
32004,230,1120
32019,712,553
32172,390,345
32216,66,1392
33273,612,209
34597,3624,955
34786,976,916
35725,1248,893
35895,18760,277
35979,858,1163
36113,630,1261
36150,1650,464
36384,171,822
36424,909,105
36507,581,504
36564,3225,748
36658,323,1305
37255,721,906
37436,358,478
37522,4560,461
37907,114,119
38510,424,427
39387,23,1688
39650,969,1283
39836,479,1335
39978,903,500
40278,4004,661
45655,394,225
49424,274,1258
49688,5551,785
49947,1099,115
52674,695,401
55891,517,719
60479,539,1168
64878,684,1015
65431,170,79
68089,449,44
69990,4097,301
70153,165,898
70348,3157,1378
70456,2259,1297
70976,524,606
71646,3527,743
71959,64,1188
72040,1017,646
72801,3947,927
72884,752,1390
72924,3093,611
73069,1537,712
73170,794,1358
73341,1192,350
73557,3332,1324
73776,995,127
74080,864,363
75848,377,1364
76522,21,1624
76845,1411,691
77441,337,374
78395,8468,416
78820,1798,239
79276,371,993
80156,874,1459
80209,665,1470
80625,806,747
80728,3132,64
80847,368,1331
81154,3536,1205
81818,835,667
81835,327,1250
82542,412,1313
86056,2199,491
87993,28,412
88580,436,1252
90665,231,283
90845,375,1210
91102,4306,230
91123,3868,6
91147,1866,47
91425,932,1110
91983,2371,1430
91986,6751,72
92514,582,1149
93447,547,309
93517,374,1229
94177,773,592
97893,1312,371
100284,2370,485
101567,202,1122
102211,300,296
102519,182,474
103030,347,798
104309,1160,172
108223,2612,845
108608,1834,565
108720,1038,1185
109265,3058,511
111356,109,197
113933,1582,1216
116679,1311,337
121031,1058,1058
121230,452,1356
123107,2631,991
124436,613,878
195809,58,1510
