time,magnitude,user_id
0,5020,1225
16,1274,368
95,363,1350
98,1499,1467
148,5029,538
172,134,868
306,696,807
343,401,1423
502,1432,486
510,2529,547
586,220,881
595,1436,802
749,742,175
812,2305,485
851,157,1413
853,4569,90
972,2381,574
1111,1212,546
1161,1686,266
1166,1854,1187
1247,110,953
1890,983,1336
1911,8745,811
1958,5237,632
1983,3997,370
1993,950,1193
2033,4934,631
2123,185,1669
2133,3854,594
2161,4778,99
2187,577,152
2290,1212,198
2346,956,325
2347,438,516
2503,107,1640
2536,1542,406
2840,1672,88
2854,960,56
3411,624,1466
3449,938,662
3771,919,1526
4157,3728,151
4504,2077,1142
4631,6993,879
4883,2398,1051
5002,1954,1135
5159,850,157
5174,3083,64
5223,50,463
5240,7455,182
5951,524,599
5975,1052,1323
6230,709,205
6302,324,331
6326,391,1347
6731,602,113
6797,2752,522
6814,511,303
6833,29086,1232
7275,1879,1490
7610,1421,1343
8070,1872,1060
8456,953,1039
8596,5489,785
9014,1603,366
9138,1386,939
9482,257,1175
9540,1853,753
9772,1920,358
9858,222,980
9913,1373,669
9920,2361,444
10376,414,1253
10413,22290,16
10446,1676,929
10482,4767,1498
10509,76,377
10599,356,299
10614,6340,342
10859,709,1351
10862,1543,797
10880,51,1632
10895,5877,39
11100,1585,324
11961,1914,1400
12099,254,1530
12593,1189,45
12728,544,620
13395,99,1506
14077,2677,1069
14193,287,1397
15111,120,189
16645,672,1425
16873,57,853
16999,3213,1220
17095,1027,1380
17207,671,1201
17419,246,1444
17459,329,459
17719,2986,636
17778,362,1045
18370,1218,762
19307,57,1661
19822,182,1472
20614,949,1365
20651,256,1090
20792,1218,1395
21134,543,1372
21596,195,300
22078,2891,1228
22191,2476,571
22201,404,1031
22267,202,1420
22301,59,1647
22509,1731,1224
23157,1184,1212
23191,3480,173
24610,1849,1108
24833,3434,295
25031,4000,370
25322,2186,709
25508,1541,21
25524,1422,1259
25923,531,607
25970,1522,1216
26017,2268,685
26881,723,1332
27153,30,1567
27347,314,1404
27782,17,639
28432,2258,867
28741,254,1194
29507,110,1549
30084,1076,1077
30108,119,1330
30322,7906,354
30470,259,1393
30611,861,268
30937,2103,703
31819,327,1614
32475,477,1024
32955,1020,304
34333,231,477
36251,116,1575
36914,341,1288
37218,1383,475
38519,84,1655
41223,276,1625
43022,385,903
43736,207,1500
43909,2675,330
44162,234,243
44538,377,103
45596,142,1494
45705,104,1385
49045,2466,415
52321,27,1366
55485,1164,757
55560,1047,764
57264,56,1246
59945,3834,754
61664,301,1165
61965,40,1664
62002,10,1563
62019,1637,1184
64032,51,1396
64124,543,282
66847,1636,37
71000,337,918
71863,743,396
72963,10072,83
73590,3677,68
73834,3998,886
74158,4685,82
77110,297,651
79341,18,1580
81308,3025,895
87462,507,1401
88670,129,1326
90312,547,504
90470,2610,102
90546,585,1126
91463,6404,121
94712,992,130
96253,2387,574
96350,15285,923
97524,390,914
101080,185,1314
104860,200,1515
105054,41,994
105692,2860,482
106589,593,961
133746,502,310
133763,3101,858
133958,4859,1129
136545,327,725
143753,62,899
161916,610,922
173366,97,1483
178359,576,1208
180976,32,1639
184199,242,864
502967,1080,462
603327,358,1204
606346,908,1176
