time,magnitude,user_id
0,45907,81
95,12347,1547
375,1,1596
385,1,1593
390,1,1684
394,10,1617
394,1,1592
394,2,1590
395,1,1597
404,1,1591
404,1,1627
405,1,1589
406,1,1595
412,1,1588
418,1,1583
423,1,1604
423,1,1586
424,1,1599
424,1,1584
427,1,1611
431,1,1598
435,1,1594
435,1,1605
440,2,1608
441,3,1585
448,7,1606
448,1,1587
453,1,1600
455,1,1602
455,1,1610
456,1,1609
457,1,1603
459,1,1607
461,3,1618
461,8010,398
463,1,1601
650,224,1680
1563,612,20
1861,1423,1363
1861,11851,1311
21229,45906,81
32024,17371,1230
32511,476,1670
62363,558,206
62423,1617,1615
62460,5241,2
80581,82410,319
80581,28,1694
98564,1163,1158
282694,58612,1537
295062,14858,1620
319136,2192,645
