time,magnitude,user_id
0,7241,1383
65,2118,744
100,1321,783
123,1163,585
317,1555,1638
524,433,427
541,46,210
667,2517,1171
1110,1646,758
1406,1650,820
1708,941,1014
2434,1671,366
3366,786,673
3747,81,787
3785,463,1544
5166,1921,1140
5368,603,978
7627,86,1690
9715,1023,1435
9729,13504,772
9976,12,1693
11917,3228,1406
12314,1400,1644
12472,7999,354
12622,3433,1408
12659,1918,1017
13434,8138,1052
17628,2724,330
23061,5636,1623
29861,514,1376
34966,509,732
35529,637,1466
36557,1279,348
36939,734,205
37931,1720,1034
38980,3534,1205
39314,615,878
39397,1053,1185
40667,4118,373
41146,1188,1155
42171,1200,350
43675,136,1251
47907,168,622
48312,562,1349
49260,1864,1187
49902,536,773
50825,2339,1087
52469,262,1384
54898,1574,487
59755,266,1097
63612,167,1281
64777,4585,652
68985,364,411
78167,1595,1216
84629,43,1260
168081,1138,956
