time,magnitude,user_id
0,991,419
127,1352,658
2149,2057,264
2465,1155,1016
2485,1917,790
2604,1484,942
2781,1474,1006
2996,1443,1064
3344,2197,491
4142,2220,1083
4208,5223,532
5004,1387,691
5324,1387,691
5526,1899,1140
5543,486,536
5626,676,559
6099,619,870
6969,620,766
8361,628,1631
9124,16912,1180
9290,411,473
9327,706,596
9525,450,800
14821,360,1441
16066,1298,371
20625,5042,932
20984,1369,8
21224,2803,465
22575,1555,285
24405,3469,1173
24442,696,1653
25705,835,1414
28484,973,307
42711,1406,471
43759,475,1424
43788,98,1516
48561,1417,1343
48641,1889,1265
48660,736,1091
48859,2238,1297
50520,4006,373
50529,2535,866
50938,506,1157
51376,1689,1107
51769,104,455
51954,2372,1065
51994,295,593
52353,1946,252
52409,443,44
52737,98,1152
53188,469,1660
53209,1051,1381
53858,3781,200
53962,276,545
58433,5,1635
64675,1881,549
86711,568,696
102008,3274,1324
152386,3196,1312
162980,407,1313
